order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_fee,discount,final_amount,payment_id,status,delivery_time_minutes
ORD000001,CUST00520,REST0225,PART0047,2025-09-29,23:32:35,266,29,7,288,PAY000001,Delivered,51
ORD000002,CUST01001,REST0150,PART0034,2026-06-05,21:57:35,793,64,154,703,PAY000002,Delivered,65
ORD000003,CUST00315,REST0040,PART0065,2026-02-24,15:27:06,1496,35,336,1195,PAY000003,Delivered,84
ORD000004,CUST01817,REST0155,PART0094,2025-11-07,01:21:29,1163,65,112,1116,PAY000004,Delivered,85
ORD000005,CUST01096,REST0164,PART0139,2026-07-05,01:34:30,1929,51,539,1441,PAY000005,Delivered,79
ORD000006,CUST01992,REST0144,PART0021,2025-10-19,00:18:24,260,64,52,272,PAY000006,Delivered,41
ORD000007,CUST01250,REST0284,PART0054,2025-11-20,21:21:11,1873,86,236,1723,PAY000007,Cancelled,30
ORD000008,CUST01859,REST0059,PART0006,2025-10-18,15:23:57,223,50,56,217,PAY000008,Delivered,78
ORD000009,CUST01574,REST0154,PART0022,2026-05-22,13:04:00,703,55,150,608,PAY000009,Delivered,22
ORD000010,CUST02029,REST0010,PART0098,2026-05-10,08:44:48,1900,98,393,1605,PAY000010,Delivered,64
ORD000011,CUST01554,REST0095,PART0111,2025-12-03,19:32:58,240,48,26,262,PAY000011,Delivered,83
ORD000012,CUST02219,REST0179,PART0007,2025-10-13,21:50:56,1502,59,16,1545,PAY000012,Delivered,58
ORD000013,CUST00113,REST0175,PART0112,2026-01-09,06:21:10,1809,95,221,1683,PAY000013,Delivered,69
ORD000014,CUST01178,REST0274,PART0119,2025-11-15,12:05:34,1803,33,397,1439,PAY000014,Delivered,69
ORD000015,CUST02126,REST0134,PART0042,2026-05-02,19:24:42,1622,92,393,1321,PAY000015,Delivered,63
ORD000016,CUST00063,REST0144,PART0071,2025-08-30,01:33:19,1677,50,67,1660,PAY000016,Delivered,25
ORD000017,CUST01383,REST0293,PART0102,2026-04-11,09:42:05,1729,89,302,1516,PAY000017,Delivered,19
ORD000018,CUST01027,REST0007,PART0032,2025-10-17,20:30:27,711,66,68,709,PAY000018,Delayed,54
ORD000019,CUST01084,REST0092,PART0114,2026-01-05,01:33:43,1503,61,428,1136,PAY000019,Cancelled,74
ORD000020,CUST01470,REST0246,PART0143,2026-04-26,19:58:01,168,79,2,245,PAY000020,Delivered,42
ORD000021,CUST01133,REST0283,PART0081,2026-06-23,02:05:59,269,94,10,353,PAY000021,Delivered,23
ORD000022,CUST01064,REST0254,PART0033,2025-12-22,10:34:37,518,53,70,501,PAY000022,Delivered,44
ORD000023,CUST00954,REST0059,PART0010,2025-12-03,18:46:06,450,99,12,537,PAY000023,Delivered,38
ORD000024,CUST00172,REST0284,PART0059,2025-08-16,04:33:25,1912,76,324,1664,PAY000024,Delivered,22
ORD000025,CUST01448,REST0277,PART0012,2025-11-29,22:31:33,677,22,173,526,PAY000025,Delivered,45
ORD000026,CUST01818,REST0058,PART0131,2026-02-18,21:37:50,373,29,64,338,PAY000026,Delivered,24
