payment_id,order_id,payment_method,payment_status
PAY000001,ORD000001,UPI,Refunded
PAY000002,ORD000002,Cash,Success
PAY000003,ORD000003,Credit Card,Success
PAY000004,ORD000004,Debit Card,Success
PAY000005,ORD000005,UPI,Success
PAY000006,ORD000006,Credit Card,Refunded
PAY000007,ORD000007,Credit Card,Failed
PAY000008,ORD000008,UPI,Success
PAY000009,ORD000009,Debit Card,Success
PAY000010,ORD000010,Cash,Success
PAY000011,ORD000011,UPI,Success
PAY000012,ORD000012,Debit Card,Success
PAY000013,ORD000013,UPI,Success
PAY000014,ORD000014,Wallet,Success
PAY000015,ORD000015,Cash,Success
PAY000016,ORD000016,Credit Card,Success
PAY000017,ORD000017,Wallet,Success
PAY000018,ORD000018,Wallet,Refunded
PAY000019,ORD000019,Cash,Refunded
PAY000020,ORD000020,Cash,Success
PAY000021,ORD000021,Cash,Success
PAY000022,ORD000022,Credit Card,Success
PAY000023,ORD000023,Wallet,Failed
PAY000024,ORD000024,Debit Card,Success
PAY000025,ORD000025,Debit Card,Success
PAY000026,ORD000026,Credit Card,Success
PAY000027,ORD000027,Debit Card,Success
PAY000028,ORD000028,Debit Card,Success
PAY000029,ORD000029,Debit Card,Failed
PAY000030,ORD000030,Wallet,Success
PAY000031,ORD000031,Credit Card,Success
PAY000032,ORD000032,Wallet,Success
PAY000033,ORD000033,Debit Card,Failed
PAY000034,ORD000034,Debit Card,Success
PAY000035,ORD000035,Debit Card,Success
PAY000036,ORD000036,Cash,Refunded
PAY000037,ORD000037,Cash,Refunded
PAY000038,ORD000038,Debit Card,Success
PAY000039,ORD000039,Cash,Success
PAY000040,ORD000040,Cash,Success
PAY000041,ORD000041,Cash,Success
PAY000042,ORD000042,Cash,Success
PAY000043,ORD000043,Debit Card,Failed
PAY000044,ORD000044,Cash,Success
PAY000045,ORD000045,Credit Card,Success
PAY000046,ORD000046,Wallet,Success
PAY000047,ORD000047,Credit Card,Success
PAY000048,ORD000048,Debit Card,Success
PAY000049,ORD000049,Debit Card,Success
PAY000050,ORD000050,Cash,Success
PAY000051,ORD000051,Credit Card,Success
PAY000052,ORD000052,Debit Card,Success
PAY000053,ORD000053,UPI,Success
PAY000054,ORD000054,Wallet,Success
PAY000055,ORD000055,Debit Card,Failed
PAY000056,ORD000056,Debit Card,Success
PAY000057,ORD000057,Credit Card,Success
PAY000058,ORD000058,Credit Card,Success
PAY000059,ORD000059,UPI,Failed
PAY000060,ORD000060,Credit Card,Refunded
PAY000061,ORD000061,Credit Card,Success
PAY000062,ORD000062,UPI,Refunded
PAY000063,ORD000063,Cash,Success
PAY000064,ORD000064,Cash,Success
PAY000065,ORD000065,Wallet,Failed
PAY000066,ORD000066,Debit Card,Success
PAY000067,ORD000067,Cash,Success
PAY000068,ORD000068,Credit Card,Failed
PAY000069,ORD000069,Debit Card,Failed
PAY000070,ORD000070,Debit Card,Success
PAY000071,ORD000071,Cash,Success
PAY000072,ORD000072,Wallet,Success
PAY000073,ORD000073,Cash,Success
PAY000074,ORD000074,Credit Card,Success
PAY000075,ORD000075,Debit Card,Refunded
PAY000076,ORD000076,Credit Card,Success
PAY000077,ORD000077,Cash,Success
PAY000078,ORD000078,UPI,Success
PAY000079,ORD000079,UPI,Success
PAY000080,ORD000080,Wallet,Success
PAY000081,ORD000081,Wallet,Success
PAY000082,ORD000082,Debit Card,Success
PAY000083,ORD000083,Credit Card,Success
PAY000084,ORD000084,Credit Card,Success
PAY000085,ORD000085,Cash,Success
PAY000086,ORD000086,Cash,Success
PAY000087,ORD000087,UPI,Success
PAY000088,ORD000088,Cash,Success
PAY000089,ORD000089,Debit Card,Success
PAY000090,ORD000090,Wallet,Success
PAY000091,ORD000091,Cash,Success
PAY000092,ORD000092,UPI,Success
PAY000093,ORD000093,Credit Card,Success
PAY000094,ORD000094,Cash,Success
PAY000095,ORD000095,Cash,Success
PAY000096,ORD000096,Wallet,Success
PAY000097,ORD000097,Debit Card,Success
PAY000098,ORD000098,Cash,Success
PAY000099,ORD000099,Cash,Failed
PAY000100,ORD000100,Credit Card,Success
PAY000101,ORD000101,Wallet,Success
PAY000102,ORD000102,UPI,Failed
PAY000103,ORD000103,Wallet,Success
PAY000104,ORD000104,Wallet,Success
PAY000105,ORD000105,UPI,Success
PAY000106,ORD000106,Wallet,Failed
PAY000107,ORD000107,UPI,Success
PAY000108,ORD000108,Debit Card,Success
PAY000109,ORD000109,Debit Card,Failed
PAY000110,ORD000110,Cash,Success
PAY000111,ORD000111,Debit Card,Success
PAY000112,ORD000112,Debit Card,Success
PAY000113,ORD000113,Debit Card,Success
PAY000114,ORD000114,Cash,Success
PAY000115,ORD000115,Credit Card,Success
PAY000116,ORD000116,Wallet,Success
PAY000117,ORD000117,UPI,Success
PAY000118,ORD000118,Wallet,Success
PAY000119,ORD000119,UPI,Success
PAY000120,ORD000120,UPI,Success
PAY000121,ORD000121,Credit Card,Success
