restaurant_id,restaurant_name,city,cuisine,average_rating,average_prep_time
REST0001,"Ram, Khare and Joshi Restaurant",Chennai,Italian,3.2,33
REST0002,"Borde, Dua and Tank Restaurant",Delhi,Chinese,3.8,36
REST0003,Aurora and Sons Restaurant,Delhi,Chinese,4.3,45
REST0004,Chahal-Tara Restaurant,Pune,South Indian,3.8,50
REST0005,Sha LLC Restaurant,Jaipur,Chinese,3.6,40
REST0006,Merchant and Sons Restaurant,Kolkata,Chinese,3.2,21
REST0007,Mammen PLC Restaurant,Delhi,Chinese,3.3,47
REST0008,Pandit-Chakraborty Restaurant,Delhi,Italian,3.1,36
REST0009,Gola Ltd Restaurant,Kolkata,Healthy Food,4.5,42
REST0010,Kuruvilla-Solanki Restaurant,Jaipur,Fast Food,3.6,20
REST0011,Sathe-Dey Restaurant,Kolkata,Italian,4.2,47
REST0012,Sura Inc Restaurant,Bengaluru,Italian,3.6,22
REST0013,Mangat-Rattan Restaurant,Pune,Italian,4.3,42
REST0014,Dayal-Sastry Restaurant,Hyderabad,Biryani,4.4,21
REST0015,Vala-Murthy Restaurant,Bengaluru,Italian,5.0,52
REST0016,Chacko-Sachdev Restaurant,Bengaluru,Italian,3.2,40
REST0017,"Sengupta, Lall and Basak Restaurant",Delhi,Fast Food,5.0,24
REST0018,"Bhandari, Konda and Anand Restaurant",Kolkata,North Indian,4.2,20
REST0019,Cheema LLC Restaurant,Delhi,Cafe,3.8,34
REST0020,Dutt-Rastogi Restaurant,Hyderabad,Italian,3.7,45
REST0021,Kapoor Group Restaurant,Delhi,Desserts,3.9,18
REST0022,Chander-Palla Restaurant,Pune,South Indian,3.5,32
REST0023,Sidhu-Warrior Restaurant,Chennai,Cafe,3.5,18
REST0024,Chopra-Chada Restaurant,Bengaluru,North Indian,3.0,57
REST0025,Chokshi Group Restaurant,Chennai,Italian,3.6,32
REST0026,Iyengar-Ratti Restaurant,Mumbai,Cafe,3.4,46
REST0027,Bhattacharyya-Nadig Restaurant,Chennai,Pizza,3.6,21
REST0028,Sunder-Kala Restaurant,Delhi,Desserts,4.5,23
REST0029,"Soni, Contractor and Mallick Restaurant",Chennai,Pizza,4.5,38
REST0030,Barad-Dugal Restaurant,Chennai,Italian,4.3,28
REST0031,Dhingra-Kala Restaurant,Kolkata,South Indian,4.8,23
REST0032,Balay-Rai Restaurant,Mumbai,North Indian,4.2,56
REST0033,Pathak Group Restaurant,Hyderabad,Italian,4.4,21
REST0034,Kala-Bhagat Restaurant,Mumbai,Desserts,4.2,34
