review_id,order_id,customer_id,restaurant_id,rating,review_text
REV00001,ORD006253,CUST00127,REST0268,4,Amazing food
REV00002,ORD004685,CUST00497,REST0066,1,Worth the money
REV00003,ORD001732,CUST01717,REST0045,5,Excellent taste
REV00004,ORD004743,CUST01865,REST0179,3,Amazing food
REV00005,ORD004522,CUST00306,REST0206,2,Loved it
REV00006,ORD006341,CUST00219,REST0074,3,Average experience
REV00007,ORD000577,CUST01655,REST0269,1,Amazing food
REV00008,ORD005203,CUST02036,REST0069,4,Loved it
REV00009,ORD006364,CUST00240,REST0235,5,Average experience
REV00010,ORD000440,CUST00259,REST0010,2,Very late delivery
REV00011,ORD002751,CUST01626,REST0203,4,Packaging was poor
REV00012,ORD007488,CUST01838,REST0272,4,Average experience
REV00013,ORD005273,CUST00242,REST0014,2,Packaging was poor
REV00014,ORD005654,CUST00616,REST0233,1,Amazing food
REV00015,ORD004000,CUST01688,REST0121,1,Amazing food
REV00016,ORD006034,CUST00438,REST0293,5,Would order again
REV00017,ORD000583,CUST01994,REST0205,3,Not satisfied
REV00018,ORD009931,CUST01925,REST0219,4,Excellent taste
REV00019,ORD007052,CUST02012,REST0191,1,Packaging was poor
REV00020,ORD008159,CUST01115,REST0253,1,Very late delivery
REV00021,ORD009897,CUST02047,REST0278,2,Amazing food
REV00022,ORD002250,CUST01975,REST0095,4,Packaging was poor
REV00023,ORD004641,CUST02034,REST0012,1,Loved it
REV00024,ORD009486,CUST01966,REST0142,1,Delivery was delayed
REV00025,ORD004948,CUST01196,REST0192,2,Would order again
REV00026,ORD009921,CUST02053,REST0265,5,Very late delivery
REV00027,ORD001964,CUST02367,REST0014,1,Amazing food
REV00028,ORD008244,CUST02323,REST0014,3,Amazing food
REV00029,ORD006591,CUST01327,REST0213,2,Average experience
REV00030,ORD008848,CUST01236,REST0299,2,Excellent taste
REV00031,ORD000322,CUST00168,REST0126,4,Average experience
REV00032,ORD002679,CUST00289,REST0126,2,Delivery was delayed
REV00033,ORD004626,CUST01696,REST0097,1,Not satisfied
REV00034,ORD004950,CUST01362,REST0186,3,Loved it
REV00035,ORD008329,CUST00478,REST0275,3,Packaging was poor
REV00036,ORD003338,CUST00409,REST0189,4,Very late delivery
REV00037,ORD005590,CUST00002,REST0199,2,Average experience
REV00038,ORD000252,CUST01598,REST0010,2,Excellent taste
REV00039,ORD003974,CUST00847,REST0277,5,Excellent taste
REV00040,ORD006631,CUST00869,REST0289,5,Worth the money
REV00041,ORD005548,CUST01010,REST0127,3,Packaging was poor
REV00042,ORD000036,CUST02072,REST0040,3,Loved it
REV00043,ORD008363,CUST01595,REST0226,2,Worth the money
REV00044,ORD001514,CUST00018,REST0123,5,Amazing food
REV00045,ORD009318,CUST00530,REST0127,5,Excellent taste
REV00046,ORD000040,CUST01860,REST0008,4,Delivery was delayed
REV00047,ORD004820,CUST01327,REST0033,2,Packaging was poor
REV00048,ORD003466,CUST00694,REST0262,4,Worth the money
REV00049,ORD001761,CUST01116,REST0216,2,Not satisfied
REV00050,ORD002305,CUST01215,REST0284,1,Delivery was delayed
REV00051,ORD003724,CUST01619,REST0297,1,Packaging was poor
REV00052,ORD008285,CUST01137,REST0137,3,Amazing food
REV00053,ORD004994,CUST01869,REST0168,2,Would order again
REV00054,ORD008128,CUST01725,REST0035,5,Excellent taste
REV00055,ORD003033,CUST00757,REST0124,3,Worth the money
REV00056,ORD007939,CUST00778,REST0012,3,Delivery was delayed
REV00057,ORD003040,CUST00774,REST0242,5,Average experience
REV00058,ORD009656,CUST00399,REST0219,1,Loved it
REV00059,ORD002546,CUST02079,REST0133,5,Amazing food
REV00060,ORD002593,CUST01925,REST0231,4,Packaging was poor
REV00061,ORD001189,CUST02489,REST0150,3,Average experience
